id,batchnum,condition,case,consistency
,67,group,0,1
,67,nominal,1,1
5d482ea521c9be351f762645,67,individual,1,1
5d482ea821c9be351f763358,67,individual,1,0
5d482ea821c9be351f7633c1,67,individual,1,1
5d482eab21c9be351f763eff,67,individual,1,1
5ea73b643ecdad5547203840,67,individual,1,1
5ea75dc4fd339b022f9ceb9c,67,individual,1,1
5ea788e421028d2296a48cb8,67,individual,1,1
5d482ea821c9be351f763358,67,ind in groups,0,1
5ea19fe2de5d74641b66c67a,67,ind in groups,0,1
5ea75dc4fd339b022f9ceb9c,67,ind in groups,0,1
,68,group,1,1
,68,nominal,0,1
5d482ea821c9be351f7634eb,68,individual,0,1
5d482ea921c9be351f763891,68,individual,0,1
5d482eaa21c9be351f763c80,68,individual,0,1
5ea736e63ecdad5547202f44,68,individual,0,0
5d482ea821c9be351f7634eb,68,ind in groups,1,1
5d482eaa21c9be351f763c80,68,ind in groups,1,0
5ea736e63ecdad5547202f44,68,ind in groups,1,1
,69,group,1,0
,69,nominal,0,0
5d482ea521c9be351f7625ef,69,individual,0,1
5d482eab21c9be351f764173,69,individual,0,1
5ea6fc76002f966295b2010a,69,individual,0,0
5ea73a743ecdad554720364b,69,individual,0,0
5ea75d88fd339b022f9ceb96,69,individual,0,1
5ea63b2e7c882f6974ff3205,69,ind in groups,1,1
5ea6fc76002f966295b2010a,69,ind in groups,1,0
5ea73a743ecdad554720364b,69,ind in groups,1,0
5ea75d88fd339b022f9ceb96,69,ind in groups,1,1
,70,group,0,1
,70,nominal,1,1
5d482ea821c9be351f7632bd,70,individual,1,1
5d482ea821c9be351f763398,70,individual,1,1
5ea888a27d50722703c540f0,70,individual,1,0
5d482ea821c9be351f7632bd,70,ind in groups,0,1
5ea888a27d50722703c540f0,70,ind in groups,0,0
,71,group,1,1
,71,nominal,0,1
5d482ea621c9be351f76280f,71,individual,0,0
5d482ea721c9be351f762ca2,71,individual,0,1
5ea873447d50722703c5242f,71,individual,0,1
5ea877b87d50722703c52da7,71,individual,0,1
5ea883c07d50722703c53b68,71,individual,0,1
