"","id","batchnum","condition","case","consistency","Segment"
"339","5ea098d69dc0406f89883084",22,"ind in groups",1,1,"Before"
"340","5ea0998a9dc0406f8988308f",22,"ind in groups",1,1,"Before"
"341","5ea099d09dc0406f898830a9",22,"ind in groups",1,1,"Before"
"342","",23,"group",1,0,"Before"
"343","",23,"nominal",0,1,"Before"
"344","5d482ea721c9be351f762e70",23,"individual",0,1,"Before"
"345","5d482ea821c9be351f763117",23,"individual",0,1,"Before"
"346","5d482ea821c9be351f76315c",23,"individual",0,0,"Before"
"347","5d482ea821c9be351f76325f",23,"individual",0,1,"Before"
"348","5d482ea821c9be351f763382",23,"individual",0,0,"Before"
"349","5d482ea821c9be351f7633d5",23,"individual",0,1,"Before"
"350","5d482eab21c9be351f763ea6",23,"individual",0,0,"Before"
"351","5d482ea721c9be351f762e70",23,"ind in groups",1,0,"Before"
"352","5d482ea821c9be351f763117",23,"ind in groups",1,1,"Before"
"353","5d482ea821c9be351f76315c",23,"ind in groups",1,0,"Before"
"354","5d482ea821c9be351f76325f",23,"ind in groups",1,1,"Before"
"355","5d482ea821c9be351f763382",23,"ind in groups",1,1,"Before"
"356","5d482ea821c9be351f7633d5",23,"ind in groups",1,1,"Before"
"357","5d482eab21c9be351f763ea6",23,"ind in groups",1,1,"Before"
"358","",24,"group",1,0,"Before"
"359","",24,"nominal",0,0,"Before"
"360","5d482ea721c9be351f762f36",24,"individual",0,1,"Before"
"361","5d482ea721c9be351f762f60",24,"individual",0,1,"Before"
"362","5d482ea721c9be351f763052",24,"individual",0,1,"Before"
"363","5d482ea821c9be351f7631c5",24,"individual",0,0,"Before"
"364","5d482ea821c9be351f76349b",24,"individual",0,0,"Before"
"365","5d482ea821c9be351f763495",24,"individual",0,1,"Before"
"366","5d482eaa21c9be351f763c24",24,"individual",0,0,"Before"
"367","5d482ea721c9be351f762f36",24,"ind in groups",1,0,"Before"
"368","5d482ea721c9be351f762f60",24,"ind in groups",1,1,"Before"
"369","5d482ea721c9be351f763052",24,"ind in groups",1,0,"Before"
"370","5d482ea821c9be351f7631c5",24,"ind in groups",1,0,"Before"
"371","5d482ea821c9be351f76349b",24,"ind in groups",1,1,"Before"
"372","5d482ea821c9be351f763495",24,"ind in groups",1,0,"Before"
"373","5d482eaa21c9be351f763c24",24,"ind in groups",1,0,"Before"
"374","",25,"group",0,0,"Before"
"375","",25,"nominal",1,1,"Before"
"376","5d482ea721c9be351f762efd",25,"individual",1,1,"Before"
"377","5d482ea721c9be351f762f0a",25,"individual",1,1,"Before"
"378","5d482ea921c9be351f76365b",25,"individual",1,1,"Before"
"379","5d482ea921c9be351f763728",25,"individual",1,1,"Before"
"380","5d482eab21c9be351f763e1b",25,"individual",1,1,"Before"
"381","5d482ea721c9be351f762efd",25,"ind in groups",0,0,"Before"
"382","5d482ea921c9be351f76365b",25,"ind in groups",0,1,"Before"
"383","5d482ea921c9be351f763728",25,"ind in groups",0,1,"Before"
"384","5d482eab21c9be351f763e1b",25,"ind in groups",0,1,"Before"
"385","",26,"group",0,0,"Before"
"386","",26,"nominal",1,0,"Before"
"387","5d482ea721c9be351f762ef8",26,"individual",1,0,"Before"
"388","5d482ea721c9be351f762fd0",26,"individual",1,1,"Before"
"389","5d482ea821c9be351f76312e",26,"individual",1,0,"Before"
"390","5d482ea821c9be351f763209",26,"individual",1,1,"Before"
"391","5d482ea821c9be351f7634b2",26,"individual",1,0,"Before"
"392","5d482ea721c9be351f762ef8",26,"ind in groups",0,0,"Before"
"393","5d482ea721c9be351f762fd0",26,"ind in groups",0,0,"Before"
"394","5d482ea821c9be351f76312e",26,"ind in groups",0,1,"Before"
"395","5d482ea821c9be351f763209",26,"ind in groups",0,0,"Before"
"396","5d482ea821c9be351f7634b2",26,"ind in groups",0,0,"Before"
"397","",27,"group",0,1,"Before"
"398","",27,"nominal",1,0,"Before"
"399","5d482ea721c9be351f762eeb",27,"individual",1,0,"Before"
"400","5d482ea821c9be351f763194",27,"individual",1,1,"Before"
"401","5d482ea821c9be351f7631eb",27,"individual",1,0,"Before"
"402","5d482eaa21c9be351f76399c",27,"individual",1,1,"Before"
"403","5d482eaa21c9be351f763b2d",27,"individual",1,0,"Before"
"404","5e9f366c9dc0406f8987761f",27,"individual",1,1,"Before"
"405","5e9f38249dc0406f8987768b",27,"individual",1,0,"Before"
"406","5d482ea721c9be351f762eeb",27,"ind in groups",0,1,"Before"
"407","5d482ea821c9be351f763194",27,"ind in groups",0,0,"Before"
"408","5d482ea821c9be351f7631eb",27,"ind in groups",0,0,"Before"
"409","5d482eaa21c9be351f76399c",27,"ind in groups",0,0,"Before"
"410","5d482eaa21c9be351f763b2d",27,"ind in groups",0,1,"Before"
"411","5e9f366c9dc0406f8987761f",27,"ind in groups",0,1,"Before"
"412","5e9f38249dc0406f8987768b",27,"ind in groups",0,1,"Before"
"413","",28,"group",0,1,"Before"
"414","",28,"nominal",1,0,"Before"
